# Cross section for CH4
# Energy in eV
# Cross section in cm2
# inelastic cross section 
# elastic cross section 
1.600000000e+03	7.334296481e-17	5.741560695e-17

1.406414536e+03	8.349063855e-17	6.243588526e-17

1.236114969e+03	9.466414411e-17	6.789998625e-17

1.086396938e+03	1.076045450e-16	7.384403213e-17

9.547730637e+02	1.212573255e-16	8.031059549e-17

8.390565790e+02	1.351919960e-16	8.734612410e-17

7.373249979e+02	1.522084862e-16	9.500131703e-17

6.478881762e+02	1.709543061e-16	1.033315428e-16

5.692602321e+02	1.910050807e-16	1.123973053e-16

5.001348599e+02	2.133018119e-16	1.222647648e-16

4.393636273e+02	2.367481665e-16	1.330063217e-16

3.859368955e+02	2.620475737e-16	1.473927150e-16

3.389670457e+02	2.916338081e-16	1.633504127e-16

2.976737322e+02	3.223044465e-16	1.810549891e-16

2.613709177e+02	3.553235180e-16	2.007026561e-16

2.294554761e+02	3.921475355e-16	2.225129450e-16

2.013971717e+02	4.326790276e-16	2.467317946e-16

1.767298508e+02	4.720766614e-16	2.736351189e-16

1.550436963e+02	5.151178793e-16	3.035329385e-16

1.359784197e+02	5.599268780e-16	3.367741731e-16

1.192172751e+02	6.093143337e-16	3.737522040e-16

1.044817969e+02	6.535787588e-16	4.149113233e-16

9.152717330e+01	6.675827729e-16	4.607541764e-16

8.013817938e+01	6.729670999e-16	5.118502729e-16

7.012560113e+01	6.726692847e-16	5.688455474e-16

6.132309196e+01	6.605546327e-16	6.324727531e-16

5.358440910e+01	6.389754278e-16	7.035620627e-16

4.678098394e+01	6.110462781e-16	7.830504557e-16

4.079978601e+01	5.730696742e-16	8.719869452e-16

3.554144513e+01	5.352005273e-16	9.715278150e-16

3.091860047e+01	4.957665598e-16	1.082910637e-15

2.685444922e+01	4.415907335e-16	1.207385810e-15

2.328147054e+01	3.760335687e-16	1.346065996e-15

2.014030381e+01	2.867614296e-16	1.499620965e-15

1.737876246e+01	1.659979244e-16	1.667689553e-15

1.495096690e+01	4.418078503e-17	1.847795269e-15

1.281658231e+01	1.415955523e-17	2.033455426e-15

1.094014855e+01	1.961069200e-17	2.211179050e-15

9.290490991e+00	2.929820564e-17	2.356535931e-15

7.840202622e+00	4.367673002e-17	2.431282676e-15

6.565188700e+00	4.551304621e-17	2.387300886e-15

5.444266450e+00	3.545346549e-17	2.185655255e-15

4.458813141e+00	2.953933075e-17	1.829063648e-15

3.592456687e+00	2.158890765e-17	1.379987664e-15

2.830803650e+00	1.826052398e-17	9.337728068e-16

2.161200111e+00	1.454876149e-17	5.668759504e-16

1.572521437e+00	1.718421249e-17	3.104821382e-16

1.054987462e+00	2.333539013e-17	1.611261715e-16

6.000000000e-01	5.144675000e-17	1.081638419e-16

2.000000000e-01	1.300000000e-17	2.294744947e-16

#	AeroPlanets 1.01
#	Copyright G Gronoff 2009
#	Report bugs : guillaume.gronoff@gmail.com
#
#	Launched :Tue Dec 19 13:01:53 2017
# Planet:Anonymous
# Photoionization used
# Electron impact ionization used
# Electron impact ionization error: -0.13696% (>0 : gain)

