# Volume profile of  emissions
# Emission in ph cm-3s-1 
# Altitude in Km
# Total : 1.708681046e+04 R
# 2.972290000e+02 : 9.647637479e+02 R
# 5.577340000e+02 : 1.612204671e+04 R
6.000000000e+02	1.710897156e-03	9.660150184e-05	1.614295654e-03	
5.981871170e+02	1.774193583e-03	1.001753753e-04	1.674018208e-03	
5.963788051e+02	1.839722460e-03	1.038752984e-04	1.735847161e-03	
5.945750527e+02	1.907550963e-03	1.077050641e-04	1.799845899e-03	
5.927758484e+02	1.977763379e-03	1.116694315e-04	1.866093948e-03	
5.909811807e+02	2.050437595e-03	1.157727982e-04	1.934664797e-03	
5.891910381e+02	2.125654902e-03	1.200197541e-04	2.005635148e-03	
5.874054093e+02	2.203498469e-03	1.244149952e-04	2.079083474e-03	
5.856242828e+02	2.284061451e-03	1.289637812e-04	2.155097670e-03	
5.838476474e+02	2.367423337e-03	1.336706003e-04	2.233752736e-03	
5.820754916e+02	2.453688073e-03	1.385413215e-04	2.315146752e-03	
5.803078042e+02	2.542946579e-03	1.435810784e-04	2.399365501e-03	
5.785445740e+02	2.635302197e-03	1.487957059e-04	2.486506491e-03	
5.767857896e+02	2.730851518e-03	1.541906578e-04	2.576660860e-03	
5.750314399e+02	2.829696589e-03	1.597716960e-04	2.669924893e-03	
5.732815137e+02	2.931964976e-03	1.655460230e-04	2.766418952e-03	
5.715359998e+02	3.037747555e-03	1.715187701e-04	2.866228785e-03	
5.697948871e+02	3.147178274e-03	1.776975003e-04	2.969480774e-03	
5.680581646e+02	3.260361859e-03	1.840881265e-04	3.076273733e-03	
5.663258210e+02	3.377433653e-03	1.906982907e-04	3.186735362e-03	
5.645978455e+02	3.498514046e-03	1.975347904e-04	3.300979256e-03	
5.628742270e+02	3.623740213e-03	2.046053707e-04	3.419134842e-03	
5.611549545e+02	3.753240532e-03	2.119172803e-04	3.541323252e-03	
5.594400171e+02	3.887173245e-03	2.194794538e-04	3.667693791e-03	
5.577294037e+02	4.025655726e-03	2.272985186e-04	3.798357207e-03	
5.560231036e+02	4.168859539e-03	2.353841615e-04	3.933475378e-03	
5.543211058e+02	4.316932734e-03	2.437447418e-04	4.073187992e-03	
5.526233995e+02	4.470033799e-03	2.523892081e-04	4.217644591e-03	
5.509299738e+02	4.628327013e-03	2.613268360e-04	4.367000177e-03	
5.492408181e+02	4.791977327e-03	2.705669391e-04	4.521410388e-03	
5.475559214e+02	4.961173768e-03	2.801201903e-04	4.681053578e-03	
5.458752731e+02	5.136084673e-03	2.899960943e-04	4.846088578e-03	
5.441988625e+02	5.316887322e-03	3.002046608e-04	5.016682661e-03	
5.425266788e+02	5.503798983e-03	3.107581573e-04	5.193040826e-03	
5.408587115e+02	5.697001560e-03	3.216668546e-04	5.375334705e-03	
5.391949498e+02	5.896699092e-03	3.329422731e-04	5.563756819e-03	
5.375353832e+02	6.103117606e-03	3.445971750e-04	5.758520431e-03	
5.358800011e+02	6.316462408e-03	3.566431523e-04	5.959819255e-03	
5.342287930e+02	6.536951148e-03	3.690924940e-04	6.167858654e-03	
5.325817483e+02	6.764844941e-03	3.819599435e-04	6.382884997e-03	
5.309388565e+02	7.000364079e-03	3.952579389e-04	6.605106140e-03	
5.293001072e+02	7.243747720e-03	4.089999836e-04	6.834747736e-03	
5.276654899e+02	7.495273777e-03	4.232017693e-04	7.072072008e-03	
5.260349942e+02	7.755191599e-03	4.378773750e-04	7.317314224e-03	
5.244086096e+02	8.023766622e-03	4.530417877e-04	7.570724834e-03	
5.227863260e+02	8.301307789e-03	4.687124512e-04	7.832595338e-03	
5.211681328e+02	8.588073020e-03	4.849039282e-04	8.103169092e-03	
5.195540198e+02	8.884403592e-03	5.016354881e-04	8.382768104e-03	
5.179439766e+02	9.190563537e-03	5.189220389e-04	8.671641498e-03	
5.163379932e+02	9.506905379e-03	5.367834848e-04	8.970121894e-03	
5.147360591e+02	9.833732456e-03	5.552369531e-04	9.278495502e-03	
5.131381641e+02	1.017141490e-02	5.743033427e-04	9.597111562e-03	
5.115442982e+02	1.052028528e-02	5.940014306e-04	9.926283853e-03	
5.099544512e+02	1.088072561e-02	6.143527863e-04	1.026637282e-02	
5.083686128e+02	1.125308012e-02	6.353768465e-04	1.061770327e-02	
